Date;Open;High;Low;Close;Adj Close;Volume
2022-08-08;1928.41;1959.13;1928.41;1941.21;1941.21;3604650000
2022-08-05;1887.54;1922.55;1884.18;1921.82;1921.82;3540260000
2022-08-04;1908.52;1911.57;1899.46;1906.46;1906.46;3565810000
2022-08-03;1895.38;1912.77;1891.05;1908.93;1908.93;3544410000
2022-08-02;1875.5;1900.73;1875.05;1882.45;1882.45;3880790000
2022-08-01;1870.49;1892.97;1859.88;1883.31;1883.31;3540960000
2022-07-29;1874.17;1888.22;1865.76;1885.23;1885.23;3817740000
2022-07-28;1854.18;1873.74;1832.77;1873.03;1873.03;3882850000
2022-07-27;1814.28;1852.86;1814.14;1848.34;1848.34;3584170000
2022-07-26;1812.5;1812.5;1800.29;1805.25;1805.25;3083420000
2022-07-25;1810.95;1819.1;1798.82;1817.77;1817.77;2988650000
2022-07-22;1839.36;1842.2;1795.29;1806.88;1806.88;3246220000
2022-07-21;1819.77;1836.69;1804.98;1836.69;1836.69;3586030000
2022-07-20;1797.95;1829.91;1797.95;1827.95;1827.95;3452150000
2022-07-19;1754.73;1800.01;1754.73;1799.32;1799.32;3160350000
2022-07-18;1758.9;1772.8;1734.22;1738.42;1738.42;3414470000
2022-07-15;1724.1;1744.37;1708.9;1744.37;1744.37;3537130000
2022-07-14;1712.29;1712.29;1684.85;1707.51;1707.51;3447500000
2022-07-13;1715.47;1732.6;1700.94;1726.04;1726.04;3166580000
2022-07-11;1765.6;1765.6;1729.65;1732.01;1732.01;3023830000
2022-07-08;1767.58;1780.13;1752.94;1769.36;1769.36;2844620000
2022-07-07;1736.01;1772.3;1736.01;1769.6;1769.6;3337710000
2022-07-06;1738.69;1747.93;1712.16;1727.55;1727.55;3613120000
2022-07-05;1714.86;1741.34;1681.58;1741.33;1741.33;4427900000
2022-07-01;1705.07;1728.91;1690.91;1727.76;1727.76;3268240000
2022-06-30;1706.48;1722.09;1680.4;1707.99;1707.99;4032260000
2022-06-29;1737.83;1737.83;1703.8;1719.37;1719.37;3458850000
2022-06-28;1778.62;1792.58;1738.81;1738.84;1738.84;3590980000
2022-06-27;1772.89;1781.46;1758.31;1771.74;1771.74;3385120000
2022-06-24;1720.04;1765.74;1720.04;1765.74;1765.74;6742870000
2022-06-23;1693.27;1714.04;1680.55;1711.67;1711.67;4078100000
2022-06-22;1678.51;1703.38;1665.54;1690.28;1690.28;4342270000
2022-06-21;1681.1;1711.74;1681.1;1694.03;1694.03;4124600000
2022-06-17;1657.01;1684.55;1652.02;1665.69;1665.69;6954110000
2022-06-16;1707.85;1707.85;1641.47;1649.84;1649.84;4511200000
2022-06-15;1718.15;1751.5;1704.42;1731.14;1731.14;4474610000
2022-06-14;1717.33;1723.19;1692.32;1707.83;1707.83;4126400000
2022-06-13;1770.5;1770.5;1708.26;1714.59;1714.59;4572820000
2022-06-10;1833.15;1833.15;1792.6;1800.28;1800.28;3936120000
2022-06-09;1884.96;1884.96;1850.67;1850.86;1850.86;3192330000
2022-06-08;1913.97;1916.08;1883.26;1891.01;1891.01;3090180000
2022-06-07;1879.77;1919.73;1870.94;1919.56;1919.56;3476470000
2022-06-06;1893.45;1903.51;1881.73;1889.89;1889.89;3852050000
2022-06-03;1886.61;1889.45;1872.23;1883.05;1883.05;3107080000
2022-06-02;1855.35;1897.67;1854.51;1897.67;1897.67;3604930000
2022-06-01;1871.46;1877.49;1830.2;1854.82;1854.82;4145710000
2022-05-31;1882;1883.19;1856.56;1864.04;1864.04;5192220000
2022-05-27;1845.24;1887.9;1845.24;1887.9;1887.9;3560560000
2022-05-26;1808.64;1847.83;1808.64;1838.24;1838.24;3961940000
2022-05-25;1760.42;1807.43;1759.2;1799.16;1799.16;4322190000
2022-05-24;1780.2;1780.2;1736.11;1764.83;1764.83;3901640000
2022-05-23;1786.43;1799.27;1769.12;1792.76;1792.76;3392770000
2022-05-20;1784.08;1797.44;1730.88;1773.27;1773.27;4278520000
2022-05-19;1769.84;1797.23;1759.66;1776.22;1776.22;4212140000
2022-05-18;1834.15;1834.15;1765.25;1774.85;1774.85;4428960000
2022-05-17;1796.36;1840.3;1796.36;1840.3;1840.3;3846580000
2022-05-16;1790.61;1802.63;1778.67;1783.43;1783.43;3824320000
2022-05-13;1748.24;1804.38;1748.24;1792.67;1792.67;4142950000
2022-05-12;1714.06;1752.55;1701.15;1739.38;1739.38;4964130000
2022-05-11;1763.02;1791.85;1715.77;1718.14;1718.14;4683220000
2022-05-10;1771.46;1794.64;1727.38;1761.79;1761.79;4630150000
2022-05-09;1833.48;1833.48;1754.21;1762.08;1762.08;4746120000
2022-05-06;1867.73;1867.73;1821.1;1839.56;1839.56;4254300000
2022-05-05;1935.64;1935.64;1849.45;1871.15;1871.15;4197620000
2022-05-04;1904.09;1952.75;1875.36;1949.92;1949.92;4236210000
2022-05-03;1882.58;1907.3;1875.98;1898.86;1898.86;3877530000
2022-05-02;1863.66;1888.84;1839.25;1882.91;1882.91;4474060000
2022-04-29;1914.36;1928.32;1860.58;1864.1;1864.1;3943480000
2022-04-28;1891.92;1927.48;1864.42;1917.94;1917.94;3969440000
2022-04-27;1891.11;1909.11;1879.65;1884.04;1884.04;3876340000
2022-04-26;1940.08;1940.08;1890.47;1890.47;1890.47;3760420000
2022-04-25;1933.24;1954.4;1908.82;1954.2;1954.2;4061070000
2022-04-22;1986.66;1986.66;1939.34;1940.66;1940.66;3930660000
2022-04-21;2046.71;2060.08;1986.91;1991.46;1991.46;3833570000
2022-04-20;2032.39;2052.08;2032.39;2038.19;2038.19;3678040000
2022-04-19;1990.21;2035.79;1990.21;2030.77;2030.77;3197930000
2022-04-18;2003.27;2003.27;1981.69;1990.13;1990.13;3509340000
2022-04-14;2025.17;2034.22;2004.97;2004.98;2004.98;3634740000
2022-04-13;1987.33;2028.79;1987.33;2025.1;2025.1;3273140000
2022-04-12;1983.13;2027.55;1980.96;1986.94;1986.94;3451990000
2022-04-11;1993.53;2004.68;1976.59;1980.32;1980.32;3452540000
2022-04-08;2009.06;2017.08;1993.04;1994.56;1994.56;3453040000
2022-04-07;2016.88;2024;1984.15;2009.8;2009.8;4054010000
2022-04-06;2044.81;2044.81;2005.05;2016.94;2016.94;4137080000
2022-04-05;2095;2103.36;2043.08;2046.04;2046.04;3906230000
2022-04-04;2091.53;2096.93;2076.5;2095.44;2095.44;3833500000
2022-04-01;2071.22;2091.73;2068.05;2091.11;2091.11;3828290000
2022-03-31;2090.91;2100.74;2069.22;2070.13;2070.13;3782040000
2022-03-30;2132.83;2132.83;2084.37;2091.07;2091.07;3665390000
2022-03-29;2079.31;2138.45;2079.31;2133.1;2133.1;4239660000
2022-03-28;2078.3;2078.3;2049.54;2078.06;2078.06;3696850000
2022-03-25;2075.89;2081.32;2064.2;2077.98;2077.98;3577520000
2022-03-24;2054.1;2075.49;2047.27;2075.44;2075.44;3573430000
2022-03-23;2086.7;2086.7;2051.45;2052.21;2052.21;4014360000
2022-03-22;2066.92;2097.61;2066.92;2088.34;2088.34;3962880000
2022-03-21;2085.82;2093.38;2054.78;2065.94;2065.94;3961050000
2022-03-18;2064.69;2087.55;2059.69;2086.14;2086.14;6681510000
2022-03-17;2029.88;2065.02;2019.21;2065.02;2065.02;4174170000
2022-03-16;1970.11;2031.8;1970.11;2030.72;2030.72;5002240000
2022-03-15;1942.08;1969.85;1942.08;1968.97;1968.97;4331170000
2022-03-14;1979.79;1983.43;1932.71;1941.72;1941.72;4757600000
2022-03-11;2012.44;2027.39;1979.07;1979.67;1979.67;3877430000
2022-03-10;2013.62;2013.62;1982.11;2011.67;2011.67;4008690000
2022-03-09;1964.45;2022.55;1964.45;2016.29;2016.29;4220180000
2022-03-08;1951.59;2004.48;1951.59;1963.01;1963.01;6237000000
2022-03-07;2001.03;2007.46;1951.21;1951.33;1951.33;5506330000
2022-03-04;2031.16;2031.16;1985.51;2000.9;2000.9;4558250000
2022-03-03;2059.15;2067.28;2019.98;2032.41;2032.41;4062080000
2022-03-02;2009.01;2065.71;2009.01;2058.87;2058.87;4409090000
2022-03-01;2047.24;2050.65;1995.42;2008.51;2008.51;4679400000
2022-02-28;2040.31;2059.44;2020.51;2048.09;2048.09;4594010000
2022-02-25;1995.84;2040.93;1988.01;2040.93;2040.93;3941780000
2022-02-24;1942.3;1996.84;1894.45;1996.01;1996.01;5070560000
2022-02-23;1980.99;2001.55;1942.27;1944.09;1944.09;3814340000
2022-02-22;2008.68;2016.43;1970.63;1980.17;1980.17;4007780000
2022-02-18;2028;2038.13;2004.73;2009.33;2009.33;3871340000
2022-02-17;2078.5;2078.5;2025.12;2028.09;2028.09;3596510000
2022-02-16;2075.63;2084.98;2060.32;2079.31;2079.31;3478750000
2022-02-15;2022.22;2078.33;2022.22;2076.46;2076.46;3363200000
2022-02-14;2030.18;2048.26;2011.37;2020.79;2020.79;3466170000
